"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Sentences";"Words";"Audience_age";"Audience_level";"Audience_size";"Full context";"Example source"
"";"ахиЛ";"";"Лиха";" ";"беда начало. ";"Б. Варецкий. Стыдные уроки барства. Власть и бедность // «Советская Россия», 2003.08.21";"Б. Варецкий";"";"Стыдные уроки барства. Власть и бедность";"2003";"публицистика";"статья";"политика и общественная жизнь";"«Советская Россия»";"2003.08.21";"газета";"омонимия снята вручную";"96";"1251";"н-возраст";"н-уровень";"большая";"Лиха беда начало. ";"701:61:0"
"";"ахиЛ";"";"Лиха";" ";"беда начало?  ";"Виктор Кульберг. Открывайтесь, сударь. Microsoft не уйдет с рынка, даже если придется опубликовать исходные коды // «Известия», 2002.07.30";"Виктор Кульберг";"";"Открывайтесь, сударь. Microsoft не уйдет с рынка, даже если придется опубликовать исходные коды";"2002";"публицистика";"статья";"наука и технологии";"«Известия»";"2002.07.30";"газета";"омонимия снята вручную";"38";"501";"н-возраст";"н-уровень";"большая";"Лиха беда начало?  ";"1181:35:0"
" ,ястировог каК";"ахил";"Как говорится, ";"лиха";" ";"беда начало. ";"Борис Екимов. Пиночет (1999)";"Борис Екимов";"1938";"Пиночет";"1999";"художественная";"повесть";"";"Борис Екимов. Пиночет";"2001";"книга";"омонимия снята вручную";"2991";"18474";"н-возраст";"н-уровень";"большая";"Как говорится, лиха беда начало. ";"899:1916:2"
" ― хяачулс хикат в тяровог каК";"ахил";"Как говорят в таких случаях ― ";"лиха";" ";"беда начало. ";"Ирина Архипова. Музыка жизни (1996)";"Ирина Архипова";"1925";"Музыка жизни";"1996";"публицистика";"мемуары";"";"Ирина Архипова. Музыка жизни";"1998";"книга";"омонимия снята вручную";"5510";"94921";"н-возраст";"н-уровень";"большая";"Как говорят в таких случаях ― лиха беда начало. ";"1549:4702:5"
"";"ахиЛ";"";"Лиха";" ";"беда начало.  ";"И. Грекова. Дамский мастер (1963)";"И. Грекова";"1907";"Дамский мастер";"1963";"художественная";"повесть";"";"На испытаниях";"1990";"книга";"омонимия снята вручную";"1832";"13316";"н-возраст";"н-уровень";"большая";"Лиха беда начало.  ";"841:1256:0"
"";"ахиЛ";"";"Лиха";" ";"беда начало. ";"И. Н. Вирабов. Андрей Вознесенский (2015)";"И. Н. Вирабов";"1959";"Андрей Вознесенский";"2015";"публицистика | нехудожественная";"монография";"искусство и культура | частная жизнь";"И. Н. Вирабов. Андрей Вознесенский";"2015";"книга";"омонимия не снята";"20293";"222730";"н-возраст";"н-уровень";"большая";"Лиха беда начало. ";"24609:2952:0"
" ,умонватсу-оп и ястичуан ,огечин( аволс еыпел";"ахил";"лепые слова (ничего, научится и по-уставному, ";"лиха";" ";"беда начало). ";"священник Сергий Круглов. На заброшенных гробницах (02.11.2015) // Православие и мир (pravmir.ru), 2015";"священник Сергий Круглов";"1966";"На заброшенных гробницах";"02.11.2015";"публицистика | нехудожественная";"статья";"политика и общественная жизнь | история | религия";"Православие и мир (pravmir.ru)";"2015";"электронный текст";"омонимия не снята";"32";"506";"н-возраст";"н-уровень";"большая";"Кто-то, препоясав джинсовые чресла взятым напрокат у входа в храм платком, уже сейчас, вот сейчас, держит в побелевших наманикюренных пальцах маленькую иконку Богородицы, шепчет в нее не совсем уставные, не совсем лепые слова (ничего, научится и по-уставному, лиха беда начало). ";"54137:30:37"
" ,ж отЧ";"ахил";"Что ж, ";"лиха";" ";"беда начало. ";"Майя Кучерская. Тетя Мотя // «Знамя», 2012";"Майя Кучерская";"1970";"Тетя Мотя";"2012";"художественная";"роман";"";"«Знамя»";"2012";"журнал";"омонимия не снята";"9170";"111973";"н-возраст";"н-уровень";"большая";"Что ж, лиха беда начало. ";"23201:1915:2"
" окандО";"ахил";"Однако ";"лиха";" ";"беда ― начало!  ";"Станислав Славин. Вести из лабораторий. Вперед на лазерном луче // Юный техник, 2012";"Станислав Славин";"";"Вести из лабораторий. Вперед на лазерном луче";"2012";"публицистика | нехудожественная";"статья";"наука и технологии";"Юный техник";"2012";"журнал";"омонимия не снята";"68";"894";"детский | подростковый";"н-уровень";"большая";"Однако лиха беда ― начало!  ";"40074:33:1"
"";"ахиЛ";"";"Лиха";" ";"беда ― начало!  ";"Форум: Семейное образование. Стандарты 2-го поколения (2011)";"коллективный";"";"Форум: Семейное образование. Стандарты 2-го поколения";"2011";"электронная коммуникация | нехудожественная";"форум";"образование";"";"2011";"электронный текст";"омонимия не снята";"291";"3568";"взрослый";"н-уровень";"большая";"[СветланаАм, жен] Лиха беда ― начало!  ";"25262:136:0"
" ад уН";"ахил";"Ну да ";"лиха";" ";"беда начало!  ";"Татьяна Соломатина. Девять месяцев, или «Комедия женских положений» (2010)";"Татьяна Соломатина";"1971";"Девять месяцев, или «Комедия женских положений»";"2010";"художественная";"повесть";"";"Татьяна Соломатина. Девять месяцев, или «Комедия женских положений»";"2010";"книга";"омонимия не снята";"7279";"84174";"н-возраст";"н-уровень";"большая";"Ну да лиха беда начало!  ";"24288:6108:2"
" ― ,имактеном екур йоварп оге в имищюавигырпдоп";"ахил";"подпрыгивающими в его правой руке монетками, ― ";"лиха";" ";"беда начало. ";"Ю. И. Андреева. Многоточие сборки (2009)";"Ю. И. Андреева";"1969";"Многоточие сборки";"2009";"художественная";"повесть";"";"Андреева Юлия. Многоточие сборки. СПб.: Лениздат, 2010";"2010";"книга";"омонимия не снята";"6381";"80130";"н-возраст";"н-уровень";"большая";"Ничего, Рыло, ― Король блаженно улыбался, жонглируя двумя весело подпрыгивающими в его правой руке монетками, ― лиха беда начало. ";"21820:5096:14"
